Key,Type,Desc,English,French,Spanish,German,Russian,Italian,Chinese Simplified,Japanese,Korean,Brazilian Portuguese,Turkish,Thai,Indonesian,Polish,Ukrainian,Arabic,Portuguese,Lithuanian
MULTIPLAYER/GAMEPASS/ERROR.Blocked,Text,,Unable to join this game,Impossible de rejoindre cette partie,No te puedes unir a esta partida,Spiel beitreten nicht möglich,Невозможно присоединиться к новой игре.,Impossibile partecipare alla partita,无法加入该游戏,参加できません。,이 게임에 참가할 수 없습니다.,Não foi possível entrar nesse jogo,Bu oyuna katılınamıyor,เข้าร่วมเกมนี้ไม่ได้,Tidak dapat bergabung ke permainan ini,Nie można dołączyć do tej gry,Не вдається приєднатися до цієї гри,تعذر الانضمام إلى تلك اللعبة,Não foi possível entrar neste jogo,Nepavyko prisijungti prie šio žaidimo
MULTIPLAYER/GAMEPASS/ERROR.NotJoinable,Text,,The game is currently not accepting new players,La partie n'accepte pas de nouveau joueur pour le moment,Actualmente la partida no acepta jugadores nuevos,Das Spiel nimmt derzeit keine neuen Spieler auf.,В данный момент в игру новые игроки не принимаются.,La partita non permette a nuovi giocatori di unirsi al momento,游戏现在不接受新玩家,このゲームには現在参加できません。,이 게임은 현재 새로운 플레이어의 참가를 허용하지 않습니다.,O jogo não está aceitando novos jogadores,Oyun şu anda yeni oyuncuları kabul etmiyor,ขณะนี้เกมไม่เปิดรับผู้เล่นใหม่,Permainan tidak menerima pemain baru untuk saat ini,W tym momencie do tej gry nie są przyjmowani nowi gracze,Наразі гра недоступна для нових гравців,اللعبة لا تقبل حاليًا لاعبين جددا,Neste momento o jogo não está a aceitar novos jogadores,Į žaidimą šiuo metu nauji žaidėjai nepriimami
MULTIPLAYER/GAMEPASS/ERROR.SessionFull,Text,,The maximum number of players chosen by the host has already been reached,Le nombre maximal de joueurs choisi par l'hôte est déjà atteint,Ya se ha alcanzado el número máximo de jugadores escogidos por el anfitrión,Die maximale Anzahl der vom Host eingestellten Spieler wurde bereits erreicht.,Хостом уже выбрано максимальное количество игроков.,È stato raggiunto il numero massimo di giocatori scelto dall'host,已经达到主机指定的最大玩家数量,最大プレイ人数に到達しています。,호스트가 지정한 최대 플레이어 수에 이미 도달했습니다.,O número máximo de jogadores escolhido pelo host já foi atingido,Kurucu tarafından belirlenen maksimum oyuncu sayısına ulaşıldı,โฮสต์เลือกผู้เล่นเป็นจำนวนสูงสุดแล้ว,Jumlah maksimal pemain yang dipilih oleh host telah mencapai batas,Osiągnięto już maksymalną liczbę graczy wybraną przez hosta.,"Було досягнуто максимальної кількості гравців, встановленої хазяїном гри",تم الوصول بالفعل إلى الحد الأقصى لعدد اللاعبين الذين اختارهم المضيف,O número máximo de jogadores escolhido pelo anfitrião já foi atingido,Jau pasiektas maksimalus administratoriaus pasirinktas žaidėjų skaičius
MULTIPLAYER/GAMEPASS/ERROR.SignalFailure,Text,,Unable to establish a connection to the host,Impossible d'établir une connexion avec l'hôte,No se ha podido establecer una conexión con el anfitrión,Verbindungsaufbau zum Host nicht möglich,Невозможно установить соединение с хостом.,Impossibile stabilire una connessione con l'host!,无法连接到主机,ホストに接続できません。,호스트와 연결할 수 없습니다.,Não foi possível estabelecer uma conexão ao host,Kurucuyla bağlantı kurulamadı,สร้างการเชื่อมต่อกับโฮสต์ไม่ได้,Tidak dapat membuat sambungan ke host,Nie można ustanowić połączenia z hostem,Неможливо встановити з’єднання з хазяїном гри,تعذر إنشاء اتصال بالمضيف,Não foi possível estabelecer ligação ao anfitrião,Nepavyko užmegzti ryšio su pagrindiniu kompiuteriu
MULTIPLAYER/GAMEPASS/ERROR.Timeout,Text,,A network operation timed out,Une opération du réseau a expiré,Se ha agotado el tiempo de una operación de red,Bei einer Netzwerkoperation trat eine Zeitüberschreitung auf.,Время ожидания сети истекло.,Operazione rete scaduta,网络操作超时,ネットワークがタイムアウトしました。,네트워크 작업 시간이 초과되었습니다.,Uma operação de rede expirou,Bir ağ işlemi zaman aşımına uğradı,หมดเวลาการทำงานของเครือข่าย,Operasi jaringan habis waktu,Czas operacji sieciowej upłynął,Час очікування відгуку мережі сплив,انتهت مهلة تشغيل الشبكة,Foi excedido o tempo da operação de rede,Baigėsi tinklo operacijos laikas
MULTIPLAYER/GAMEPASS/ERROR.NoSuchSession,Text,,Game session has ended and is no longer available for joining,"La partie est terminée, vous ne pouvez plus la rejoindre",La sesión de juego ha finalizado y ya no está disponible para unirse.,Die Spiel-Sitzung wurde beendet und ihr kann nicht mehr beigetreten werden,Игровая сессия завершилась и более недоступна для присоединения.,La sessione di gioco è terminata e non è più possibile prenderne parte,游戏会话已结束，无法加入游戏,ゲームセッションが終了したため、参加できません,게임 세션이 종료되어 더 이상 참가할 수 없습니다,A sessão do jogo terminou e não é mais possível entrar,Oyun oturumu sona erdi ve artık bu oyun oturumuna katılamazsın,เซสชันเกมสิ้นสุดลงแล้วและไม่สามารถเข้าร่วมได้อีก,Sesi game sudah berakhir dan tidak tersedia lagi untuk bergabung,Sesja gry została zakończona i nie możesz już do niej dołączyć,Ігровий сеанс завершений і більше недоступний для приєднання.,,A sessão de jogo terminou e já não está disponível para participação,Žaidimo seansas baigėsi ir daugiau neprieinamas prisijungti
MULTIPLAYER/GAMEPASS/ERROR.InviteOnly,Text,,This game is now invite-only and requires an invitation to join,Cette partie ne peut être rejointe que sur invitation,Esta partida ahora es solo por invitación y requiere una invitación para unirse.,Dieses Spiel ist jetzt nur für eingeladene Spieler und man braucht für den Beitritt eine Einladung,"Данная игра находится в режиме ""Только по приглашению"", и для того, чтобы присоединиться, требуется разрешение.",È possibile accedere a questa partita solo su invito,此游戏只有受邀者才能参加，需要邀请才能加入,このゲームは、招待されたプレイヤーのみがプレイでき、参加するためには、招待される必要があります,"이 게임은 초대 전용이며, 초대를 받아야 참가할 수 있습니다",Agora só é possivel entrar nesse jogo com convites e é necessário um para entrar,Bu oyuna sadece davetli oyuncular katılabilir,เกมนี้เป็นแบบได้รับเชิญเท่านั้นและต้องได้รับคำเชิญจึงจะสามารถเข้าร่วมได้,Game ini sekarang hanya-mengundang dan memerlukan undangan untuk bergabung,Ta gra jest teraz dostępna wyłącznie dla zaproszonych graczy,"Тепер дана гра знаходиться у режимі ""Тільки за запрошенням"", і для приєднання необхідне запрошення.",,"Agora, o jogo é apenas por convite e requer um convite para entrar","Šis žaidimas šiuo metu yra tik pakvietimo pobūdžio ir būtina gauti kvietimą, kad prisijungtumėte"
MULTIPLAYER/GAMEPASS/TITLE.Invitation,Text,,Accepted Invitation,Invitation acceptée,Invitación aceptada,Einladung angenommen,Приглашение принято,Invito accettato,接受邀请,招待を承認した,초대 수락,Convite aceito,Davet Kabul Edildi,ตอบรับคำเชิญ,Undangan Diterima,Zaproszenie przyjęte,Запрошення прийняте,قبول الدعوة,Convite aceite,Priimtas kvietimas
MULTIPLAYER/GAMEPASS/TITLE.ActivityInvitation,Text,,Activity Join,Rejoindre l'activité,Únete a actividad,Aktivitätsbeitritt,Присоединиться к активности,Accesso all'attività,活动加入,アクティビティ参加,활동 참가,Entrar na atividade,Etkinliğe Katıl,การเข้าร่วมกิจกรรม,Gabung Aktivitas,Dołącz do aktywności,Приєднатися до активності,,Participação na atividade,Veikla Prisijungti
NARRATOR/Humans,Text,,"Humans, they will run into every door they encounter,","Ah, les humains, ils passent toutes les portes qu'ils croisent.","Humanos, se chocan con cada puerta que encuentran,","Menschen ... Sie laufen auf jede Tür zu, die sich ihnen in den Weg stellt,",Люди - они зайдут в любую попавшуюся на пути дверь...,"Umani, entreranno in tutte le porte che incontrano...",人类，他们看到门就会冲进去，,人間 彼らは目の前にある扉に突進する,"인간, 그들은 직면하는 모든 문으로 들어갑니다","Humanos... eles cruzam todas as portas com as quais se deparam,","İnsanlar, karşılaştıkları her kapıya koşacaklar,",พวกมนุษย์จะวิ่งเข้าหาประตูทุกบานที่พบ,"Manusia, mereka akan membuka tiap pintu,","Ludzie – przebiegną przez każde drzwi, jakie znajdą.","Люди біжать через двері головою вперед,","البشر، سيقتحمون كل باب يعترض طريقهم،","Humanos, esbarram em todas as portas que encontram,",Žmonės – jie eis per kekvienas kelyje pasitaikiusias duris.
NARRATOR/Buttons,Text,,"They will push every button they see,",Ils poussent tous les boutons qu'ils voient.,"Pulsan cada botón que ven,","drücken jeden Knopf, der sich ihnen präsentiert,","Они нажмут на все кнопки, какие только увидят...",Premeranno ogni pulsante che vedono...,他们看到按钮就会按下去，,ボタンを見ると押したがる,그들은 보이는 모든 버튼을 누릅니다,"Depois, apertam todos os botões que veem,","Gördükleri her düğmeye basacaklar,",กดทุกปุ่มที่เห็น,"Mereka akan menekan semua tombol yang mereka lihat,","Wcisną każdy guzik, jaki zobaczą.","натискають усі підряд кнопки, які тільки на очі попадуться,","سيضغطون على كل زر يرونه،","Primem todos os botões que veem,",Jie paspaus kiekvieną pamatytą mygtuką.
NARRATOR/PushBend,Text,,"They will reach high and bend low to achieve their goals,",Ils s'étirent et se penchent pour atteindre leurs objectifs.,"Se estiran y se agachan para conseguir sus objetivos,","sie strecken sich hoch und bücken sich tief, um ihre Ziele zu erreichen,","Они будут высоко тянуться и низко наклоняться,
только бы достичь своих целей...",Raggiungeranno alte vette e si piegheranno fino a terra per raggiungere i loro obiettivi...,为了达到目标不惜一切，,山や谷を乗り越え目標達成を目指す,그들은 목표 달성을 위해 필요하면 손을 높게 뻗고 몸을 낮게 구부립니다,"Eles vão se elevar e se rebaixar para alcançar seus objetivos,","Amaçlarına ulaşmak için yükseğe çıkıp aşağı eğilecekler,",มนุษย์จะยอมยืดแขนและก้มหัวเพื่อให้บรรลุเป้าหมาย,"Tinggi rendah akan diraih demi tujuan,","Wdrapią się wysoko albo schylą nisko, by osiągnąć swój cel.","стрімко деруться вгору й низько прогинаються,
 щоб досягти поставлених перед ними цілей,","سوف يصلون إلى الأعلى وينحنون لتحقيق أهدافهم،","Fazem tudo o que podem para cumprirem os seus objetivos,","Jie tampysis aukštyn ir lankstysis žemyn, kad tik pasiektų savo tikslo."
NARRATOR/BothHands,Text,,"And grab opportunities with both of their hands,",Ils attrapent les opportunités à deux mains.,"Y agarran las oportunidades con ambas manos,","und ergreifen jede Gelegenheit mit beiden Händen,","И хватать все, что им нравится, обеими руками...",E afferreranno ogni opportunità con entrambe le mani...,用自己双手抓住机会，,そして両手で成功をつかむ,그리고 양손으로 기회를 잡습니다,"E agarrar oportunidades com as duas mãos,","Ve fırsatları iki elleriyle yakalayacaklar,",และคว้าโอกาสด้วยมือทั้งสองข้างของพวกเขา,"Dan merebut kesempatan dengan kedua tangannya,","Każdej okazji będą łapać się obiema rękami,",і хапаються за усілякі можливості обома руками.,"وسيغتنمون الفرص بكلتا يديهم،","E agarram as oportunidades com ambas as mãos,",Ir griebsis už kiekvienos galimybės abiem rankom.
NARRATOR/NeverFly,Text,,Yet they can't fly and never will...,"Et pourtant, ils ne peuvent pas voler et ne le pourront jamais...","Y aún así no saben volar, y nunca sabrán…","aber fliegen können sie nicht, und das werden sie auch nie ...",Но они не умеют летать и никогда не научатся...,Ma non possono e non potranno mai volare...,即使他们不会飞，永远也学不会…,だが 決して飛ぶことはできない...,하지만 그들은 여전히 날 수 없고 영원히 날지 못할 것입니다..,"Ainda assim, eles não podem voar, e nunca poderão...",Fakat uçamazlar ve asla uçamayacaklar da...,ทว่าพวกเขาก็บินไม่ได้ และจะไม่มีทาง...,"Sayangnya, mereka tidak bisa terbang dan tidak akan pernah bisa...",a jednak nie mogą latać i nigdy nie będą mogli.,А от літати вони так і не навчилися…,"ومع ذلك، فهم لا يستطيعون الطيران ولن يتمكنوا من ذلك أبدًا...",No entanto não voam e nunca voarão...,Tačiau jie neskraido ir niekada neskraidys...
START/PressA,Text,,Press {[ACCEPT_BUTTON]} to Start,Appuyez sur {[ACCEPT_BUTTON]} pour commencer,Pulsa {[ACCEPT_BUTTON]} para iniciar,Drücke {[ACCEPT_BUTTON]} zum Starten,"Чтобы начать, нажмите {[ACCEPT_BUTTON]}.",Premi {[ACCEPT_BUTTON]} per iniziare,按 {[ACCEPT_BUTTON]}开始,{[ACCEPT_BUTTON]} はじめる,시작하려면 {[ACCEPT_BUTTON]}를 누르십시오,Aperte {[ACCEPT_BUTTON]} para começar,Başlatmak için {[ACCEPT_BUTTON]} düğmesine Basın,กด {[ACCEPT_BUTTON]} เพื่อเริ่มต้น,Tekan {[ACCEPT_BUTTON]} untuk Mulai,"Wciśnij {[ACCEPT_BUTTON]}, by zacząć","Натисніть {[ACCEPT_BUTTON]}, щоб почати",اضغط على {[ACCEPT_BUTTON]} للبدء,Prime {[ACCEPT_BUTTON]} para começar,"Paspausk {[ACCEPT_BUTTON]}, kad pradėtum"
START/PressKbd,Text,,Press Any Key to Start,Appuyez sur une touche pour commencer,Pulsa cualquier tecla para iniciar,Drücke eine beliebige Taste zum Starten,"Чтобы начать, нажмите любую клавишу.",Premi un tasto qualunque per iniziare,按任意键开始,ボタンを押してはじめる,시작하려면 아무 키를 누르십시오,Aperte qualquer tecla para começar,Başlatmak için bir Düğmeye Basın,กดแป้นใด ๆ เพื่อเริ่มต้น,Tekan Sembarang Tombol untuk Mulai,"Wciśnij dowolny przycisk, by kontynuować","Натисніть будь-яку клавішу, щоб почати",اضغط على أي مفتاح للبدء,Prime qualquer tecla para começar,"Paspausk bet kurį klavišą, kad pradėtum"
START/WrittenBy,Text,,written by,Écrit par,escrito por,geschrieben von,автор:,scritto da,作者,作成：,에 의해 작성된,escrito por,yazanlar,เขียนโดย,ditulis oleh,napisane przez,Автор,تأليف,escrito por,sukūrė
SUBTITLES/GrabTutorial,Text,,GrabTutorialSrt,GrabTutorialSrt-fr,GrabTutorialSrt-es,GrabTutorialSrt-de,GrabTutorialSrt-ru,GrabTutorialSrt-it,GrabTutorialSrt-zh-cn,GrabTutorialSrt,GrabTutorialSrt,GrabTutorialSrt,GrabTutorialSrt,GrabTutorialSrt,GrabTutorialSrt,GrabTutorialSrt,GrabTutorialSrt,GrabTutorialSrt,GrabTutorialSrt,GrabTutorialSrt
SUBTITLES/HandsTutorial,Text,,HandsTutorialSrt,HandsTutorialSrt-fr,HandsTutorialSrt-es,HandsTutorialSrt-de,HandsTutorialSrt-ru,HandsTutorialSrt-it,HandsTutorialSrt-zh-cn,HandsTutorialSrt,HandsTutorialSrt,HandsTutorialSrt,HandsTutorialSrt,HandsTutorialSrt,HandsTutorialSrt,HandsTutorialSrt,HandsTutorialSrt,HandsTutorialSrt,HandsTutorialSrt,HandsTutorialSrt
SUBTITLES/ClimbTutorial,Text,,ClimbTutorialSrt,ClimbTutorialSrt-fr,ClimbTutorialSrt-es,ClimbTutorialSrt-de,ClimbTutorialSrt-ru,ClimbTutorialSrt-it,ClimbTutorialSrt-zh-cn,ClimbTutorialSrt,ClimbTutorialSrt,ClimbTutorialSrt,ClimbTutorialSrt,ClimbTutorialSrt,ClimbTutorialSrt,ClimbTutorialSrt,ClimbTutorialSrt,ClimbTutorialSrt,ClimbTutorialSrt,ClimbTutorialSrt
SUBTITLES/ClimbHighTutorial,Text,,ClimbHighTutorialSrt,ClimbHighTutorialSrt-fr,ClimbHighTutorialSrt-es,ClimbHighTutorialSrt-de,ClimbHighTutorialSrt-ru,ClimbHighTutorialSrt-it,ClimbHighTutorialSrt-zh-cn,ClimbHighTutorialSrt,ClimbHighTutorialSrt,ClimbHighTutorialSrt,ClimbHighTutorialSrt,ClimbHighTutorialSrt,ClimbHighTutorialSrt,ClimbHighTutorialSrt,ClimbHighTutorialSrt,ClimbHighTutorialSrt,ClimbHighTutorialSrt,ClimbHighTutorialSrt
SUBTITLES/Hands_1,Text,,Hand direction,Orientation des mains,Control de manos,Hand-Steuerung,Направление руки,Direzione delle mani,手的方向,つかみ方,손 방향,Controle das mãos,El yönü,ทิศทางของมือ,Kontrol Tangan,Kierunek rąk,Напрямок руху рук,اتجاه اليد,Direção da mão,Rankos kryptis
SUBTITLES/Hands_2,Text,,"As you may have noticed, you will reach
for things that you are looking at","Comme vous l'avez remarqué, vous
attrapez les choses que vous regardez","Como ya te habrás dado cuenta, 
puedes coger las cosas que estés mirando.","Wie dir wahrscheinlich schon aufgefallen ist,
greifst du nach den Dingen, die du dir ansiehst.","Вы можете дотянуться до предметов, на которые смотрите.","Come avrai notato, per raggiungere
gli oggetti li devi guardare","您可能已经注意到了，
您会伸手去碰您看到的东西","物をつかもうとする本能に
お気づきでしょうか","알아차리셨겠지만, 보고 있는 대상을 향해 손을 뻗을 것입니다","Como você deve ter notado, para alcançar
as coisas você deve olhar para elas","Fark ettiysen, baktığın 
şeylere ulaşacaksın",คุณอาจสังเกตเห็นแล้วว่าคุณจะเอื้อมมือไปหยิบสิ่งที่คุณมองอยู่,"Seperti yang diperhatikan, Kamu akan meraih
hal-hal yang Kamu lihat","Pewnie zauważyłeś, że chwytasz przedmioty,
na które patrzysz.","Як ви вже мабуть помітили, ваші руки будуть
тягнутися в ту сторону, в яку ви дивитесь","لعلك لاحظت أنك سوف تصل
إلى الأشياء التي تنظر إليها","Como já podes ter reparado, estenderás a mão
na direção das coisas para as quais estás a olhar.","Kaip galbūt jau pastebėjai, sieksi 
objektų, į kuriuos žiūri"
SUBTITLES/Hands_3,Text,,If you can’t grab something or push a button,Si vous ne pouvez pas attraper quelque chose,Si no puedes coger algo o pulsar un botón,"Falls du etwas nicht greifen oder einen Knopf nicht drücken kannst,","Если вы не можете взять предмет или нажать на кнопку,",Se non riesci ad afferrare qualcosa o a premere un pulsante,所以如果您拿不住什么东西，或者按不到什么按钮,"物をつかめなかったり
ボタンを押せない時は",만약 대상을 잡을 수 없거나 버튼을 누를 수 없다면,"Se não puder pegar algo ou apertar um botão,",Eğer bir şeyi yakalayamaz veya bir düğmeye basamazsan,ถ้าคุณหยิบอะไรไม่ได้หรือกดปุ่มไม่ได้,Kalau Kamu tidak bisa meraih sesuatu atau menekan tombol,"Jeśli nie możesz czegoś złapać lub wcisnąć przycisku,",Якщо вам не вдається схопити предмет або натиснути кнопку,إذا لم تتمكن من مسك شيء ما أو الضغط على زر,"Se não conseguires agarrar em qualquer coisa ou premir um botão,","Jei nepavyksta kažko sugriebti ar paspausti mygtuko,"
SUBTITLES/Hands_4,Text,,don’t blame your hands,n'en voulez pas à vos mains,no le eches la culpa a tus manos.,"sind nicht deine Hände verantwortlich,","дело не в руках,",non dare la colpa alle tue mani,不要怪您的手,手のせいにしないで,손을 탓하지 마세요,"não culpe suas mãos,",ellerini suçlama,อย่าโทษมือของคุณ,Jangan salahkan tangan Kamu,"nie wiń swoich dłoni,","не звинувачуйте в цьому ваші руки,",فلا تلقي اللوم على يديك,"não culpes as tuas mãos,","nekaltink savo rankų,"
SUBTITLES/Hands_5,Text,,blame your head!,votre tête est coupable !,¡Échasela a tu cabeza!,sondern dein Kopf!,а в голове!,prenditela con la tua testa!,怪您自己的脑袋！,貴方の知力を疑いましょう,머리를 탓하세요!,culpe sua cabeça!,kafanı suçla!,โทษหัวของคุณ!,Salahkan kepala Kamu!,tylko swoją głowę!,а нарікайте на голову!,بل على عقلك!,culpa a tua cabeça!,kaltink savo galvą!
SUBTITLES/Hands_6,Text,,"You may need to look up
to grab something that is high","Vous devrez lever la tête
pour attraper certaines choses","Puede que tengas que mirar hacia 
arriba para coger algo que esté alto.","Manchmal musst du nach oben schauen,
um auch nach oben zu greifen,","Чтобы взять что-либо сверху, вам нужно посмотреть вверх,","Capiterà che dovrai guardare in su
per prendere qualcosa che si trova in alto","如果要拿您上方的东西，
您就得抬头看","見上げて手を伸ばし
上にある物をつかみます",높이 있는 대상을 잡기 위해선 위로 쳐다봐야 합니다,"Você pode ter que olhar para cima
para pegar algo que esteja no alto","Yüksekteki bir şeyi yakalamak için
yukarı bakman gerekebilir",คุณอาจต้องแหงนหน้าขึ้นเพื่อคว้าสิ่งที่อยู่สูง,"Kamu mungkin harus menengadah
untuk menjangkau sesuatu yang tinggi","Może będziesz musiał spojrzeć w górę,
by chwycić coś, co jest wysoko,","Щоб схопитися за щось, розташоване над вами, подивіться вгору","قد تحتاج إلى النظر للأعلى
لمسك شيء مرتفع","Poderás ter de olhar para cima
para agarrares algo numa posição elevada.","Gali tekti pažvelgti aukštyn,
kad sugriebtum kažką aukščiau"
SUBTITLES/Hands_7,Text,,"And you will have to bend over
to reach something that is on the floor","Vous devrez vous pencher
pour atteindre les objets sur le sol","Y tendrás que agacharte para 
coger algo que esté en el suelo.","und manchmal musst du dich bücken,
um Gegenstände vom Boden aufzuheben.","и вам нужно наклониться, чтобы подобрать что-либо с земли.","Oppure dovrai piegarti per raggiungere 
un oggetto che si trova a terra","如果要拿地上的东西，
您就得弯腰低头","身をかがめれば
下にある物をつかめます",그리고 바닥에 있는 대상에 접근하기 위해선 구부려야 합니다,"E você terá que se curvar para baixo
para alcançar algo que esteja no chão","Yerdeki bir şeye ulaşman için de
eğilmen gerekecek","และคุณก็จะต้องค้อมตัวลง
เพื่อคว้าอะไรบางอย่างที่อยู่บนพื้น","Dan Kamu akan harus membungkuk
untuk memungut sesuatu yang ada di lantai","albo schylić się,
by podnieść coś z podłogi.","А щоб схопити предмет на підлозі,
вам доведеться нагнутися","وسيكون عليك الانحناء
للوصول إلى شيء موجود على الأرض","E terás de te curvar para chegares 
a qualquer coisa que esteja no chão.","Ir turėsi pasilenkti,
kad pasiektum tai, kas guli ant žemės"
SUBTITLES/Hands_8,Text,,"Don’t worry,
this is a safe place!","Ne vous en faites pas,
vous ne risquez rien ici !","¡No te preocupes, 
este es un lugar muy seguro!","Keine Bange,
dies ist ein sicherer Ort!","Не волнуйтесь, здесь безопасно!","Niente paura,
questo posto è sicuro!","不要担心，
这里很安全！","事故の心配はいりませんよ
ここは安全な場所ですから","걱정하지 마세요,
  여기는 안전한 장소입니다!","Não se preocupe,
este é um lugar seguro!","Merak etme,
burası güvenli bir yer!","ไม่ต้องห่วง
นี่คือที่ที่ปลอดภัย!","Jangan khawatir,
ini adalah tempat yang aman!","Nie martw się,
jesteś w bezpiecznym miejscu!","Не переживайте,
тут ви в повній безпеці!","لا تقلق،
فهذا مكان آمن!","Não te preocupes,
é um espaço seguro!","Nesijaudink, čia saugi vieta!"
SUBTITLES/Grab_1,Text,,You’ve just grabbed an instructional video,Vous venez de ramasser une vidéo de démonstration,Acabas de coger un vídeo tutorial,Du hast gerade ein Lehrvideo aufgehoben.,Вы только что взяли учебное видео.,Hai appena trovato un video istruttivo,您刚刚抓起了一个教学视频,チュートリアルリモコンをつかみました,교육용 비디오를 선택하셨습니다.,Você acaba de pegar um vídeo explicativo,Öğretici bir video yakaladın,คุณเพิ่งจะหยิบวิดีโอการเรียนการสอน,Kamu baru saja meraih video petunjuk,Podniosłeś właśnie film instruktażowy.,Ви щойно схопили навчальне відео,لقد حصلت للتو على فيديو تعليمي,Acabaste de agarrar num vídeo educativo.,Tu ką tik sugriebei mokomąjį vaizdo įrašą
SUBTITLES/Grab_2,Text,,Hold it tight!,Tenez-la bien !,¡No lo sueltes!,Halt es gut fest!,Держите его крепко!,Tienilo stretto!,抓紧它！,落とさないように,꽉 잡으세요!,Segure firme!,Sıkı tut!,จับมันไว้แน่นๆ!,Pegang yang erat!,Trzymaj go mocno!,Не випускайте його з рук!,امسكه بإحكام!,Segura bem nele!,Laikyk jį tvirtai!
SUBTITLES/Grab_3,Text,,Great!,Génial !,¡Genial!,Großartig!,Отлично!,Grande!,太棒了！,その調子です,좋아요!,Ótimo!,Harika!,ยอดเยี่ยม!,Bagus!,Świetnie!,Чудово!,عظيم!,Boa!,Puiku!
SUBTITLES/Grab_4,Text,,"Whenever you are lost or
otherwise in despair","Quand vous êtes perdu ou
en proie au désespoir","Cuando te pierdas 
o te desesperes","Wenn du dich mal verirrst oder
vom Pessimismus übermannt wirst,","Если вы заблудились или пали духом,","Ogni volta che non sai cosa fare o
sei in preda alla disperazione","要是您找不到路，
或者因为别的事儿感到绝望的话",どうしていいか困り果てている時は—,"헤매거나
 절망에 빠져있다면","Sempre que estiver perdido ou
desesperado","Kaybolduğun veya
umutsuz olduğun her an","เมื่อใดก็ตามที่คุณท้อแท้สับสนหรือ
รู้สึกหมดหวัง","Setiap kali Kamu tersesat atau
mungkin putus asa","Gdy czujesz się zagubiony
lub po prostu zrozpaczony,","Кожного разу ви заблукали, або ж ви просто у відчаї,","كلما تهت أو
كنت في حالة يأس","Quando te perderes ou
entrares em desespero,","Kai tik jausiesi pasiklydęs ar
nusivylęs,"
SUBTITLES/Grab_5,Text,,Look around for such remotes,Cherchez ces télécommandes,busca estos mandos.,sieh dich ruhig nach solchen Fernbedienungen um.,поищите такие пульты.,Cerca questi telecomandi,就在四周看看有没有这样的遥控器,リモコンを探してみましょう,리모트를 찾아보세요,Procure controles remotos ao redor,Böyle işaretçiler için etrafına bak,มองไปรอบ ๆ เพื่อหารีโมท,Coba temukan di sekitar Kamu remote seperti ini,rozejrzyj się w poszukiwaniu takich pilotów.,Озерніться чи нема поблизу от такого приладу,ابحث من حولك عن أجهزة التحكم عن بعد هذه,Procura estes telecomandos à tua volta.,apsižvalgyk ir rasi dežutes
SUBTITLES/Grab_6,Text,,"Once activated, they will
provide instructions","Une fois activées, elle vous
donneront des instructions","Cuando los activas, 
te dan instrucciones,","Nachdem du sie aktivierst,
geben sie dir Anweisungen,",При активации они дают инструкции -,"Una volta attivati, ti
forniranno istruzioni","打开它们，
您就可以得到指导",リモコンは映像やヒントを表示します,"활성화되면, 리모트가
  설명을 제공할 것입니다","Quando ativados, eles vão
fornecer instruções","Etkinleştirildiğinde, kimisi pek faydalı olmayan,","เมื่อเปิดใช้งานแล้ว รีโมทเหล่านั้นจะ
ให้คำแนะนำ","Begitu diaktifkan, remote ini akan
memberikan petunjuk yang","Gdy je włączysz,
przedstawią ci instrukcję","Щойно ви його активуєте,
з'явиться підказка.","بمجرد تفعيلها، فإنها سوف
توفر التعليمات","Quando são ativados, eles
dão-te instruções","Jas aktyvavus,
gaus instrukcijas –"
SUBTITLES/Grab_7,Text,,"ranging from not very helpful
to totally useless","allant de pas très utiles
à complètement inutiles","que pueden ser no muy útiles 
o totalmente inútiles.","die entweder nicht sehr hilfreich
oder total nutzlos sind.",от очень нужных до совершенно бесполезных.,"che potranno rivelarsi poco utili 
o del tutto inutili","不过这些指导往往没什么用，
甚至完全没有意义","あまり役に立たない
くだらないものですけどね","별로 도움이 안 되는 것에서부터
  완전히 쓸모 없는 것까지","que variam de não muito úteis
a completamente inúteis",kimisi de tamamen işe yaramaz olan talimatlar verecektir,"ที่เริ่มตั้งแต่ไม่มีประโยชน์มาก
ไปจนถึงที่ไร้ประโยชน์โดยสิ้นเชิง","beragam mulai dari yang tak berguna
sampai ke yang remeh","ze wskazówkami zarazem mało pomocnymi,
jak i kompletnie bezużytecznymi.","Якість підказок коливається від не дуже
корисних до ні до чого непридатних","تتراوح من غير مفيدة للغاية
إلى عديمة الفائدة تمامًا","que podem ser muito pouco úteis
ou completamente inúteis.","nuo nelabai naudingų
iki visiškai beverčių"
SUBTITLES/Grab_8,Text,,If there is no remote around you,S'il n'y a pas de télécommande en vue,Si no hay ningún mando cerca,"Wenn sich keine Fernbedienung in deiner Umgebung befindet,","Если рядом с вами нет пульта,",Se non c'è nessun telecomando intorno a te,如果周围没有遥控器,リモコンが見当たらない時は—,주변에 리모트가 없는 경우,"Se não houver nenhum controle por perto,",Etrafında hiçbir işaretçi yoksa,ถ้าไม่มีรีโมทรอบตัวคุณ,Kalau tidak ada remote di sekitar Kamu,"Jeśli w okolicy nie ma żadnego pilota,","Якщо поряд нема такого приладу,",إذا لم يكن هناك جهاز تحكم عن بعد من حولك,"Se não houver um telecomando perto de ti,","Jei aplink tave nėra dėžutės,"
